Datetime,Symbol,RS_Open,Future_15m,Future_30m,Future_60m,Rank
2026-05-18 09:15:00+05:30,ASIANPAINT.NS,-0.0765,-0.0738,-0.2137,-0.4275,2
2026-05-18 09:30:00+05:30,ASIANPAINT.NS,-0.0687,-0.14,-0.3461,0.0622,2
2026-05-18 09:45:00+05:30,ASIANPAINT.NS,-0.0133,-0.2064,-0.2142,0.6387,2
2026-05-18 10:00:00+05:30,ASIANPAINT.NS,-0.3456,-0.0078,0.4098,0.839,2
2026-05-18 10:15:00+05:30,ASIANPAINT.NS,-0.0868,0.4176,0.8547,0.9952,2
2026-05-18 10:30:00+05:30,ASIANPAINT.NS,0.0736,0.4353,0.4275,0.5674,1
2026-05-18 10:45:00+05:30,ASIANPAINT.NS,0.2489,-0.0077,0.1393,0.1664,1
2026-05-18 11:00:00+05:30,ASIANPAINT.NS,-0.0608,0.1471,0.1393,0.6115,1
2026-05-18 11:15:00+05:30,ASIANPAINT.NS,0.0147,-0.0077,0.027,0.6801,1
2026-05-18 11:30:00+05:30,ASIANPAINT.NS,-0.1322,0.0348,0.4715,0.7768,1
2026-05-18 11:45:00+05:30,ASIANPAINT.NS,0.3128,0.4365,0.6529,0.9001,1
2026-05-18 12:00:00+05:30,ASIANPAINT.NS,0.2373,0.2154,0.3039,0.45,1
2026-05-18 12:15:00+05:30,ASIANPAINT.NS,0.1108,0.0883,0.2456,0.284,1
2026-05-18 12:30:00+05:30,ASIANPAINT.NS,-0.0482,0.1572,0.1457,0.1726,1
2026-05-18 12:45:00+05:30,ASIANPAINT.NS,-0.0935,-0.0115,0.0383,0.0191,1
2026-05-18 13:00:00+05:30,ASIANPAINT.NS,0.0478,0.0498,0.0268,-0.0996,2
2026-05-18 13:15:00+05:30,ASIANPAINT.NS,0.0543,-0.023,-0.0191,-0.1914,1
2026-05-18 13:30:00+05:30,ASIANPAINT.NS,-0.0439,0.0038,-0.1263,-0.1072,1
2026-05-18 13:45:00+05:30,ASIANPAINT.NS,-0.076,-0.1302,-0.1723,-0.1263,2
2026-05-18 14:00:00+05:30,ASIANPAINT.NS,-0.0608,-0.0422,0.0192,0.1802,2
2026-05-18 14:15:00+05:30,ASIANPAINT.NS,-0.0655,0.0613,0.046,0.2377,1
2026-05-18 14:30:00+05:30,ASIANPAINT.NS,0.1329,-0.0153,0.161,0.8891,1
2026-05-18 14:45:00+05:30,ASIANPAINT.NS,0.0349,0.1763,0.1916,0.6746,1
2026-05-18 15:00:00+05:30,ASIANPAINT.NS,-0.02,0.0153,0.727,0.2104,2
2026-05-18 15:15:00+05:30,ASIANPAINT.NS,-0.0279,0.7116,0.482,0.3673,1
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,0.1772,-0.2279,-0.5128,-0.0228,1
2026-05-19 09:30:00+05:30,ASIANPAINT.NS,-0.1555,-0.2855,-0.1142,0.3541,2
2026-05-19 09:45:00+05:30,ASIANPAINT.NS,0.0159,0.1718,0.4925,0.6796,2
2026-05-19 10:00:00+05:30,ASIANPAINT.NS,-0.1419,0.3202,0.4688,0.0915,1
2026-05-19 10:15:00+05:30,ASIANPAINT.NS,0.3303,0.1482,0.1862,-0.3001,1
2026-05-19 10:30:00+05:30,ASIANPAINT.NS,0.0691,0.0379,-0.3756,-0.1669,1
2026-05-19 10:45:00+05:30,ASIANPAINT.NS,0.0051,-0.4134,-0.4854,-0.1896,1
2026-05-19 11:00:00+05:30,ASIANPAINT.NS,-0.1915,-0.0723,0.2094,0.0876,1
2026-05-19 11:15:00+05:30,ASIANPAINT.NS,-0.1289,0.282,0.2972,-0.061,2
2026-05-19 11:30:00+05:30,ASIANPAINT.NS,0.2018,0.0152,-0.1216,-0.2242,1
2026-05-19 11:45:00+05:30,ASIANPAINT.NS,-0.0206,-0.1368,-0.3572,-0.2964,1
2026-05-19 12:00:00+05:30,ASIANPAINT.NS,-0.0839,-0.2207,-0.1027,-0.1446,1
2026-05-19 12:15:00+05:30,ASIANPAINT.NS,-0.2303,0.1182,0.061,0.0381,2
2026-05-19 12:30:00+05:30,ASIANPAINT.NS,0.2357,-0.0571,-0.0419,-0.2399,1
2026-05-19 12:45:00+05:30,ASIANPAINT.NS,0.0109,0.0152,-0.0229,-0.3049,2
2026-05-19 13:00:00+05:30,ASIANPAINT.NS,0.0696,-0.0381,-0.1981,-0.2705,2
2026-05-19 13:15:00+05:30,ASIANPAINT.NS,-0.0647,-0.1601,-0.2821,-0.3697,2
2026-05-19 13:30:00+05:30,ASIANPAINT.NS,-0.0448,-0.1222,-0.0725,-0.565,1
2026-05-19 13:45:00+05:30,ASIANPAINT.NS,-0.0909,0.0497,-0.0879,-0.5007,2
2026-05-19 14:00:00+05:30,ASIANPAINT.NS,-0.1008,-0.1375,-0.4929,-0.596,2
2026-05-19 14:15:00+05:30,ASIANPAINT.NS,-0.0622,-0.3558,-0.4132,-0.6198,2
2026-05-19 14:30:00+05:30,ASIANPAINT.NS,-0.142,-0.0576,-0.1037,-1.0213,2
2026-05-19 14:45:00+05:30,ASIANPAINT.NS,-0.0515,-0.0461,-0.2074,-0.1037,1
2026-05-19 15:00:00+05:30,ASIANPAINT.NS,0.0641,-0.1614,-0.9186,0.1845,2
2026-05-19 15:15:00+05:30,ASIANPAINT.NS,-0.0419,-0.7584,0.1039,-0.0693,2
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,0.0766,0.8689,1.1133,0.7526,1
2026-05-20 09:30:00+05:30,ASIANPAINT.NS,0.6831,0.2423,-0.1731,0.0808,1
2026-05-20 09:45:00+05:30,ASIANPAINT.NS,0.1938,-0.4143,-0.3568,-0.1074,1
2026-05-20 10:00:00+05:30,ASIANPAINT.NS,-0.2376,0.0578,0.2543,0.2388,2
2026-05-20 10:15:00+05:30,ASIANPAINT.NS,-0.0708,0.1964,0.2503,0.3966,2
2026-05-20 10:30:00+05:30,ASIANPAINT.NS,0.1417,0.0538,-0.0154,0.0269,2
2026-05-20 10:45:00+05:30,ASIANPAINT.NS,-0.0192,-0.0691,0.1459,-0.0346,1
2026-05-20 11:00:00+05:30,ASIANPAINT.NS,-0.1064,0.2152,0.0423,0.0269,2
2026-05-20 11:15:00+05:30,ASIANPAINT.NS,0.0971,-0.1726,-0.1802,-0.1687,1
2026-05-20 11:30:00+05:30,ASIANPAINT.NS,-0.2174,-0.0077,-0.0154,0.3073,2
2026-05-20 11:45:00+05:30,ASIANPAINT.NS,-0.0234,-0.0077,0.0115,0.315,1
2026-05-20 12:00:00+05:30,ASIANPAINT.NS,0.131,0.0192,0.3227,0.1921,1
2026-05-20 12:15:00+05:30,ASIANPAINT.NS,-0.0122,0.3035,0.3035,0.0384,2
2026-05-20 12:30:00+05:30,ASIANPAINT.NS,0.2284,0.0,-0.1302,-0.134,1
2026-05-20 12:45:00+05:30,ASIANPAINT.NS,-0.0417,-0.1302,-0.2643,-0.1302,2
2026-05-20 13:00:00+05:30,ASIANPAINT.NS,-0.0805,-0.1342,-0.0038,0.0383,2
2026-05-20 13:15:00+05:30,ASIANPAINT.NS,0.0124,0.1306,0.1344,0.1536,2
2026-05-20 13:30:00+05:30,ASIANPAINT.NS,0.0156,0.0038,0.0422,0.0307,1
2026-05-20 13:45:00+05:30,ASIANPAINT.NS,-0.1316,0.0383,0.0192,-0.0882,2
2026-05-20 14:00:00+05:30,ASIANPAINT.NS,-0.196,-0.0192,-0.0115,-0.3757,2
2026-05-20 14:15:00+05:30,ASIANPAINT.NS,-0.082,0.0077,-0.1074,-0.3681,1
2026-05-20 14:30:00+05:30,ASIANPAINT.NS,-0.0478,-0.115,-0.3642,0.9546,1
2026-05-20 14:45:00+05:30,ASIANPAINT.NS,-0.1205,-0.2495,-0.261,1.0478,2
2026-05-20 15:00:00+05:30,ASIANPAINT.NS,-0.14,-0.0115,1.3236,1.2351,2
2026-05-20 15:15:00+05:30,ASIANPAINT.NS,0.015,1.3353,1.3122,0.939,1
2026-05-21 09:15:00+05:30,ASIANPAINT.NS,0.5831,-0.0228,-0.0873,-0.6494,2
2026-05-21 09:30:00+05:30,ASIANPAINT.NS,-0.1794,-0.0646,-0.3684,-0.3608,2
2026-05-21 09:45:00+05:30,ASIANPAINT.NS,0.0271,-0.3041,-0.5625,-0.6347,2
2026-05-21 10:00:00+05:30,ASIANPAINT.NS,-0.3005,-0.2592,0.0076,-0.4422,2
2026-05-21 10:15:00+05:30,ASIANPAINT.NS,-0.3123,0.2676,-0.0726,0.1338,1
2026-05-21 10:30:00+05:30,ASIANPAINT.NS,0.3206,-0.3393,-0.4498,-0.2059,1
2026-05-21 10:45:00+05:30,ASIANPAINT.NS,-0.1592,-0.1109,0.2066,0.218,2
2026-05-21 11:00:00+05:30,ASIANPAINT.NS,0.0416,0.3178,0.2451,0.3063,1
2026-05-21 11:15:00+05:30,ASIANPAINT.NS,0.1357,-0.0725,0.0115,0.0802,1
2026-05-21 11:30:00+05:30,ASIANPAINT.NS,-0.0216,0.084,0.0611,0.0917,2
2026-05-21 11:45:00+05:30,ASIANPAINT.NS,0.1477,-0.0229,0.0687,0.0534,1
2026-05-21 12:00:00+05:30,ASIANPAINT.NS,0.0277,0.0916,0.0305,0.1145,2
2026-05-21 12:15:00+05:30,ASIANPAINT.NS,0.2665,-0.061,-0.0153,-0.103,1
2026-05-21 12:30:00+05:30,ASIANPAINT.NS,0.0404,0.0458,0.084,0.0153,1
2026-05-21 12:45:00+05:30,ASIANPAINT.NS,0.1124,0.0381,-0.0877,-0.2251,2
2026-05-21 13:00:00+05:30,ASIANPAINT.NS,-0.0311,-0.1258,-0.0686,-0.3699,1
2026-05-21 13:15:00+05:30,ASIANPAINT.NS,-0.0801,0.0573,-0.1375,-0.2635,2
2026-05-21 13:30:00+05:30,ASIANPAINT.NS,-0.153,-0.1946,-0.3015,-0.4694,2
2026-05-21 13:45:00+05:30,ASIANPAINT.NS,-0.1606,-0.1071,-0.1262,-0.3365,2
2026-05-21 14:00:00+05:30,ASIANPAINT.NS,-0.0152,-0.0191,-0.1684,-0.5703,2
2026-05-21 14:15:00+05:30,ASIANPAINT.NS,0.0215,-0.1493,-0.2106,-0.513,1
2026-05-21 14:30:00+05:30,ASIANPAINT.NS,-0.2162,-0.0613,-0.4026,0.6403,2
