Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60
2026-04-06 09:15:00+05:30,ASIANPAINT.NS,0.6174,-0.0461,1.6755,2183.8999,2150.0,33.8999,1.5523,1.1539,-0.2572,0.4944,-0.1674,-0.1205,-0.1344,0.2038,-0.5437,-0.5895,-0.1619
2026-04-07 09:15:00+05:30,ASIANPAINT.NS,-0.7005,-0.16,0.3718,2169.0,2146.0,23.0,1.0604,0.106,0.2839,0.4971,-0.2931,-0.2492,-0.0646,0.66,-0.8058,-0.9644,-0.7148
2026-04-08 09:15:00+05:30,ASIANPAINT.NS,6.3215,-0.0686,4.5747,2327.8,2276.7,51.1001,2.1984,1.6994,-0.5037,0.7274,4.3594,0.4814,0.1794,-0.8884,4.5147,4.443,4.5721
2026-04-09 09:15:00+05:30,ASIANPAINT.NS,-0.6127,0.0701,0.334,2286.8999,2252.2,34.7,1.528,0.6165,0.4528,0.4142,0.775,-0.0306,-0.512,-0.5689,0.0,0.0701,0.5279
2026-04-10 09:15:00+05:30,ASIANPAINT.NS,0.3705,-0.0617,2.7631,2312.1001,2275.6001,36.5,1.604,1.5117,0.4683,0.3587,1.6092,1.5065,1.8009,2.5195,1.8878,1.8249,1.9822
2026-04-13 09:15:00+05:30,ASIANPAINT.NS,-2.9483,0.0169,1.016,2303.7,2262.7,41.0,1.7895,0.4146,0.5068,0.5787,-2.1131,1.3214,1.417,1.8734,-2.5458,-2.5293,-2.7683
2026-04-15 09:15:00+05:30,ASIANPAINT.NS,1.9597,0.017,0.4114,2424.8,2381.1001,43.7,1.822,0.5462,-0.4881,0.4653,1.2606,0.9391,1.1612,1.2283,1.4028,1.4201,1.132
2026-04-16 09:15:00+05:30,ASIANPAINT.NS,0.9463,-0.2185,0.7038,2442.8999,2414.1001,28.7998,1.1789,0.5322,0.0384,0.3057,0.6523,-0.572,-0.1811,0.0041,0.4091,0.1897,0.4257
2026-04-17 09:15:00+05:30,ASIANPAINT.NS,-0.3893,0.0123,0.7047,2446.8,2417.8999,28.9001,1.1889,0.6582,0.3953,0.3775,0.5031,-0.2738,0.5599,0.8991,0.2664,0.2787,0.361
2026-04-20 09:15:00+05:30,ASIANPAINT.NS,-0.5017,0.2596,1.2201,2495.0,2457.7,37.3,1.5168,0.9271,0.152,0.3784,0.5455,-0.6769,-0.3626,1.4303,0.4208,0.6815,0.8492
2026-04-21 09:15:00+05:30,ASIANPAINT.NS,0.1273,-0.1311,1.3063,2536.2,2513.8,22.3999,0.8898,0.6276,0.2163,0.5955,2.0307,0.4421,0.9948,1.2751,0.7557,0.6236,2.4343
2026-04-22 09:15:00+05:30,ASIANPAINT.NS,-0.6133,0.0157,0.6092,2542.0,2517.8,24.2,0.9573,0.1503,-0.1503,0.3914,-0.4673,0.3922,1.0221,1.0221,-0.7627,-0.7471,-0.5516
2026-04-23 09:15:00+05:30,ASIANPAINT.NS,-1.4357,0.0468,1.0875,2529.6001,2515.3999,14.2002,0.5621,0.3048,-0.1005,0.3792,-1.4462,0.004,0.5122,0.2819,-1.7361,-1.6901,-1.958
2026-04-24 09:15:00+05:30,ASIANPAINT.NS,0.0635,-0.2137,0.538,2535.1001,2516.1001,19.0,0.7531,0.222,-0.2167,0.345,-0.4539,-0.4886,-0.6475,-0.437,-0.1586,-0.372,0.0556
2026-04-27 09:15:00+05:30,ASIANPAINT.NS,0.3541,0.0081,1.0484,2514.0,2491.8,22.2,0.8902,0.7418,0.2527,0.3767,0.8217,-0.3184,0.2229,-0.2667,1.0985,1.1067,1.0051
2026-04-28 09:15:00+05:30,ASIANPAINT.NS,-0.3742,-0.1166,0.8582,2492.1001,2458.0,34.1001,1.3773,0.4847,0.3455,0.3709,-0.1187,-0.1769,-0.406,0.2452,0.1086,-0.008,0.0322
2026-04-29 09:15:00+05:30,ASIANPAINT.NS,0.5619,-0.357,1.678,2469.8999,2439.3,30.5999,1.2389,0.7247,-0.0706,0.4512,-0.9016,-0.1998,-0.2039,-0.106,-0.1669,-0.5233,-0.9413
2026-04-30 09:15:00+05:30,ASIANPAINT.NS,-1.1127,-0.1267,0.4704,2423.3999,2409.0,14.3999,0.5957,0.1986,-0.1049,0.4184,-1.6868,0.1534,0.2238,0.058,-1.3091,-1.4341,-1.8272
2026-05-04 09:15:00+05:30,ASIANPAINT.NS,0.5758,0.2087,5.48,2506.8999,2462.8999,44.0,1.7865,1.2343,0.2251,0.5182,2.1706,0.385,0.1083,-0.0642,1.8172,2.0297,1.6802
2026-05-05 09:15:00+05:30,ASIANPAINT.NS,-1.1437,-0.0775,0.1945,2453.0,2418.2,34.8,1.438,0.9752,0.2215,0.3996,-0.5121,-0.135,-0.2251,-0.5483,-0.1797,-0.2571,-0.3141
2026-05-06 09:15:00+05:30,ASIANPAINT.NS,1.037,-0.0041,2.3171,2465.2,2440.8,24.3999,0.9938,0.2159,-0.0843,0.3712,0.7243,-0.2,-0.2204,-0.0367,0.8189,0.8148,0.9852
2026-05-07 09:15:00+05:30,ASIANPAINT.NS,0.5836,-0.0595,1.6135,2540.7,2511.6001,29.0999,1.1485,0.4144,-0.0779,0.475,1.2929,0.2735,0.0159,0.0238,0.1667,0.1071,0.4819
2026-05-08 09:15:00+05:30,ASIANPAINT.NS,-0.4189,0.0198,1.3352,2571.0,2520.0,51.0,2.0238,1.7024,0.4547,0.5499,1.2546,-0.6282,-0.6204,0.3941,1.2764,1.2964,1.3765
2026-05-11 09:15:00+05:30,ASIANPAINT.NS,-1.1115,0.0038,1.0605,2598.3,2559.3,39.0,1.5168,0.2178,-0.0517,0.4441,-0.4755,0.3648,0.2367,0.2057,-0.8961,-0.8923,-1.0065
2026-05-12 09:15:00+05:30,ASIANPAINT.NS,-0.8184,-0.0156,0.4146,2555.7,2531.8999,23.8,0.9351,0.5108,-0.3071,0.5219,-1.6783,0.1461,-0.0237,-0.2567,-1.325,-1.3403,-1.8414
2026-05-13 09:15:00+05:30,ASIANPAINT.NS,1.8461,0.1637,4.7209,2612.7,2554.3,58.3999,2.2863,1.3976,0.1676,0.5962,2.5872,-0.2741,0.5753,1.0541,3.2695,3.4386,3.1831
2026-05-14 09:15:00+05:30,ASIANPAINT.NS,0.5354,-0.0306,0.3979,2662.5,2629.0,33.5,1.2742,1.0917,0.3007,0.4628,1.5754,-0.2295,-0.5155,-0.8579,1.6329,1.6018,1.4699
2026-05-15 09:15:00+05:30,ASIANPAINT.NS,0.088,-0.3697,0.3552,2616.3,2600.0,16.3,0.623,0.2026,0.0728,0.371,-0.4715,0.1915,0.1762,0.5362,-0.1148,-0.484,-0.3853
2026-05-18 09:15:00+05:30,ASIANPAINT.NS,-0.7023,-0.0269,1.4598,2590.2,2567.0,23.2,0.8967,0.5411,-0.1371,0.4824,-1.4209,-0.0738,-0.2137,-0.4275,-1.2396,-1.2662,-0.9278
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,0.1874,0.0153,1.3913,2645.5,2615.5,30.0,1.1455,0.5231,0.0532,0.3416,0.9356,-0.2279,-0.5128,-0.0228,0.7116,0.727,0.8891
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,-0.9201,-0.1614,0.8402,2587.0,2572.5,14.5,0.5634,0.1632,-0.0478,0.2987,-1.2651,0.8689,1.1133,0.7526,-0.7584,-0.9186,-1.0213
2026-05-21 09:15:00+05:30,ASIANPAINT.NS,1.0544,-0.0115,1.5962,2648.2,2626.0,22.2,0.8454,0.278,-0.0961,0.4123,0.97,-0.0228,-0.0873,-0.6494,1.3353,1.3236,0.9546
2026-05-22 09:15:00+05:30,ASIANPAINT.NS,0.1462,0.0385,0.9183,2628.3999,2600.5,27.8999,1.072,0.8607,0.2687,0.3279,0.446,0.7543,1.1619,0.9143,1.0082,1.047,0.6403
2026-05-25 09:15:00+05:30,ASIANPAINT.NS,1.4547,-0.0757,0.8422,2684.0,2666.7,17.3,0.646,0.28,-0.1159,0.4429,0.7907,-0.0973,-0.0449,0.1123,1.1705,1.0939,0.5913
2026-05-26 09:15:00+05:30,ASIANPAINT.NS,0.0301,0.0113,0.5239,2658.8,2648.3,10.5,0.3949,0.2144,-0.0113,0.1917,-0.3252,-0.0792,-0.1357,0.147,-0.1843,-0.1731,-0.143
2026-05-27 09:15:00+05:30,ASIANPAINT.NS,0.3706,-0.2189,1.9248,2676.8999,2651.1001,25.7998,0.9721,0.569,0.125,0.289,0.6087,-0.1087,0.0712,-0.0749,0.9417,0.7208,1.0526
2026-05-29 09:15:00+05:30,ASIANPAINT.NS,0.785,0.1273,0.6566,2696.0,2655.3999,40.6001,1.5059,1.135,-0.257,0.3414,-0.2775,0.075,0.5928,0.0976,-0.3589,-0.2321,-0.2433
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,0.2326,8.3529,2778.1001,2737.0,41.1001,1.5016,1.3043,0.3656,1.2615,3.1404,-1.5472,-1.2154,-1.659,3.7842,4.0257,3.3433
2026-06-02 09:15:00+05:30,ASIANPAINT.NS,-0.3602,0.1139,0.2476,2650.6001,2613.3999,37.2002,1.4157,0.7497,0.3868,0.494,-0.612,-0.1851,-0.5477,-0.272,0.3868,0.5011,0.3563
2026-06-03 09:15:00+05:30,ASIANPAINT.NS,-0.5107,0.0038,0.809,2659.0,2626.6001,32.3999,1.2229,0.2718,0.3475,0.5084,0.2258,0.4743,0.128,-0.3614,-0.2403,-0.2366,0.0565
2026-06-04 09:15:00+05:30,ASIANPAINT.NS,0.3358,-0.4994,1.2984,2682.0,2650.3,31.7,1.1922,0.5717,0.1986,0.4106,0.494,0.7442,0.4749,0.7442,0.9094,0.4055,0.1836
2026-06-05 09:15:00+05:30,ASIANPAINT.NS,0.1879,-0.0601,0.6251,2684.2,2665.0,19.2,0.72,0.0075,-0.1946,0.3664,0.1086,0.6375,0.6037,0.7012,0.1954,0.1352,0.3688
2026-06-08 09:15:00+05:30,ASIANPAINT.NS,-1.2702,-0.3759,0.3775,2648.3,2630.1001,18.2,0.6887,0.2081,0.2296,0.4127,-1.3084,0.2341,0.4909,0.3701,-1.0647,-1.4366,-1.7729
