Rank,Count,Avg_Return,Median_Return,Win_Rate
1,226,-0.17,-0.28,48.23
2,226,0.3,0.56,53.1
3,226,0.27,0.22,50.44
4,226,0.7,0.13,51.77
5,226,-0.43,-1.03,43.36
6,227,-0.33,-0.39,48.46
7,227,-0.02,0.52,54.63
8,226,0.21,0.22,51.77
9,226,0.05,-0.86,46.46
10,226,0.41,-0.12,49.56
11,226,0.46,-0.64,47.79
12,226,0.92,0.44,52.21
13,226,0.08,-0.25,47.79
14,226,-0.18,-0.29,48.67
15,226,-0.07,-0.74,43.81
16,226,-0.3,-0.59,46.9
17,226,0.2,-0.52,46.02
18,226,0.46,-0.14,49.12
19,226,0.07,-1.07,43.81
20,226,0.1,-0.93,42.04
21,226,0.26,0.08,51.33
22,226,0.35,-0.24,48.23
23,226,-0.49,-0.32,46.9
24,227,0.3,0.04,50.66
25,226,0.37,-0.12,49.56
26,227,-0.29,-1.26,40.53
27,226,0.5,0.08,50.44
28,226,0.18,-0.63,46.9
29,226,-0.24,-0.89,43.81
30,222,-0.07,0.23,51.8
