Rank,Count,Avg_Return,Median_Return,Win_Rate
1,241,0.06,-0.22,46.89
2,241,0.07,0.06,51.04
3,241,0.11,-0.26,46.47
4,241,0.04,-0.05,49.79
5,241,-0.33,-0.53,43.57
6,242,-0.16,-0.12,48.76
7,242,0.19,-0.24,47.11
8,241,0.03,0.1,50.62
9,241,-0.03,0.1,51.45
10,241,-0.01,-0.25,47.3
11,241,0.32,0.22,53.11
12,241,0.33,0.01,50.21
13,241,0.18,0.31,56.43
14,241,0.08,0.02,50.62
15,241,0.11,-0.04,48.13
16,241,0.09,-0.13,47.3
17,241,0.07,0.0,49.79
18,242,0.26,0.26,52.89
19,241,-0.19,-0.21,45.64
20,241,0.06,-0.14,47.72
21,241,-0.21,-0.38,44.81
22,241,0.55,0.3,51.04
23,241,-0.04,-0.11,47.3
24,242,-0.01,0.01,50.41
25,241,0.01,-0.07,48.13
26,242,0.04,-0.25,46.28
27,241,0.28,-0.2,48.55
28,241,0.19,0.23,52.7
29,241,-0.21,-0.26,46.06
30,236,0.02,0.31,52.12
