Datetime,Symbol,GAP,Future_15m,Future_30m,Future_60m,Rank
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,0.1874,-0.2279,-0.5128,-0.0228,14
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,-0.9201,0.8689,1.1133,0.7526,23
2026-05-21 09:15:00+05:30,ASIANPAINT.NS,1.0544,-0.0228,-0.0873,-0.6494,5
2026-05-22 09:15:00+05:30,ASIANPAINT.NS,0.1462,0.7543,1.1619,0.9143,19
2026-05-25 09:15:00+05:30,ASIANPAINT.NS,1.4547,-0.0973,-0.0449,0.1123,4
2026-05-26 09:15:00+05:30,ASIANPAINT.NS,0.0301,-0.0792,-0.1357,0.147,15
2026-05-27 09:15:00+05:30,ASIANPAINT.NS,0.3706,-0.1087,0.0712,-0.0749,8
2026-05-29 09:15:00+05:30,ASIANPAINT.NS,0.785,0.075,0.5928,0.0976,4
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,-1.5472,-1.2154,-1.659,1
2026-06-02 09:15:00+05:30,ASIANPAINT.NS,-0.3602,-0.1851,-0.5477,-0.272,11
2026-06-03 09:15:00+05:30,ASIANPAINT.NS,-0.5107,0.4743,0.128,-0.3614,26
2026-06-04 09:15:00+05:30,ASIANPAINT.NS,0.3358,0.7442,0.4749,0.7442,3
2026-06-05 09:15:00+05:30,ASIANPAINT.NS,0.1879,0.6375,0.6037,0.7012,23
2026-06-08 09:15:00+05:30,ASIANPAINT.NS,-1.2702,0.2341,0.4909,0.3701,23
2026-06-09 09:15:00+05:30,ASIANPAINT.NS,0.4821,0.1007,0.0597,-0.1454,19
2026-06-10 09:15:00+05:30,ASIANPAINT.NS,-0.1292,-0.1387,0.0,-0.2884,20
2026-06-11 09:15:00+05:30,ASIANPAINT.NS,-1.3075,0.1333,-0.1518,-0.2296,30
2026-06-12 09:15:00+05:30,ASIANPAINT.NS,1.0963,-0.3047,-0.4515,-0.0881,12
2026-06-15 09:15:00+05:30,ASIANPAINT.NS,2.186,-1.3935,-1.2591,-1.5774,4
2026-06-16 09:15:00+05:30,ASIANPAINT.NS,0.2667,-0.1128,0.0982,0.524,21
2026-06-17 09:15:00+05:30,ASIANPAINT.NS,0.3202,-0.0073,0.0,-0.2103,11
2026-06-18 09:15:00+05:30,ASIANPAINT.NS,0.3728,0.5532,0.6704,0.6118,6
2026-06-19 09:15:00+05:30,ASIANPAINT.NS,-0.4029,-0.0877,0.011,-0.0439,19
2026-06-22 09:15:00+05:30,ASIANPAINT.NS,0.3586,-0.1574,-0.2306,-0.3917,10
2026-06-23 09:15:00+05:30,ASIANPAINT.NS,-0.4003,0.1954,0.6988,0.7777,28
2026-06-24 09:15:00+05:30,ASIANPAINT.NS,0.0451,-0.015,-0.643,-0.1495,20
2026-06-25 09:15:00+05:30,ASIANPAINT.NS,0.4761,0.0603,1.0356,0.7343,13
2026-05-19 09:15:00+05:30,BRITANNIA.NS,-0.0093,-0.1013,0.2763,0.3961,20
2026-05-20 09:15:00+05:30,BRITANNIA.NS,-0.48,-0.0374,-0.0561,-0.0187,15
2026-05-21 09:15:00+05:30,BRITANNIA.NS,0.3836,-0.5411,-0.6718,-0.5785,23
2026-05-22 09:15:00+05:30,BRITANNIA.NS,0.1217,-0.1318,-0.1318,0.1789,21
2026-05-25 09:15:00+05:30,BRITANNIA.NS,0.7127,-0.1965,-0.234,-0.0842,17
2026-05-26 09:15:00+05:30,BRITANNIA.NS,0.1686,-0.047,-0.0846,0.047,11
2026-05-27 09:15:00+05:30,BRITANNIA.NS,-0.0467,0.1221,0.0094,0.1127,20
2026-05-29 09:15:00+05:30,BRITANNIA.NS,0.1592,-0.5085,-0.3955,-0.5085,18
2026-06-01 09:15:00+05:30,BRITANNIA.NS,-0.4207,-0.0579,0.2218,0.5112,26
2026-06-02 09:15:00+05:30,BRITANNIA.NS,-0.7271,-0.1662,-0.1564,-0.2249,18
2026-06-03 09:15:00+05:30,BRITANNIA.NS,0.4008,-0.0491,-0.3434,-0.1276,6
2026-06-04 09:15:00+05:30,BRITANNIA.NS,-0.237,0.3765,1.0008,1.09,17
2026-06-05 09:15:00+05:30,BRITANNIA.NS,-0.1765,0.0295,0.0492,0.2753,28
2026-06-08 09:15:00+05:30,BRITANNIA.NS,-0.9862,-0.0492,0.0197,-0.4825,17
2026-06-09 09:15:00+05:30,BRITANNIA.NS,0.5732,-0.1182,0.1182,-0.1379,13
2026-06-10 09:15:00+05:30,BRITANNIA.NS,-0.0783,0.6078,0.6657,0.2315,18
