Datetime,Symbol,RVOL,Future_15m,Future_30m,Future_60m,Rank
2026-05-18 14:15:00+05:30,ASIANPAINT.NS,1.8169,0.0613,0.046,0.2377,1
2026-05-18 14:30:00+05:30,ASIANPAINT.NS,1.901,-0.0153,0.161,0.8891,2
2026-05-18 14:45:00+05:30,ASIANPAINT.NS,2.1435,0.1763,0.1916,0.6746,6
2026-05-18 15:00:00+05:30,ASIANPAINT.NS,3.6633,0.0153,0.727,0.2104,10
2026-05-18 15:15:00+05:30,ASIANPAINT.NS,2.33,0.7116,0.482,0.3673,17
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,1.1397,-0.2279,-0.5128,-0.0228,12
2026-05-19 09:30:00+05:30,ASIANPAINT.NS,0.7308,-0.2855,-0.1142,0.3541,26
2026-05-19 09:45:00+05:30,ASIANPAINT.NS,0.3972,0.1718,0.4925,0.6796,28
2026-05-19 10:00:00+05:30,ASIANPAINT.NS,0.3514,0.3202,0.4688,0.0915,26
2026-05-19 10:15:00+05:30,ASIANPAINT.NS,0.3415,0.1482,0.1862,-0.3001,27
2026-05-19 10:30:00+05:30,ASIANPAINT.NS,0.453,0.0379,-0.3756,-0.1669,20
2026-05-19 10:45:00+05:30,ASIANPAINT.NS,0.4552,-0.4134,-0.4854,-0.1896,20
2026-05-19 11:00:00+05:30,ASIANPAINT.NS,0.5305,-0.0723,0.2094,0.0876,18
2026-05-19 11:15:00+05:30,ASIANPAINT.NS,0.5364,0.282,0.2972,-0.061,13
2026-05-19 11:30:00+05:30,ASIANPAINT.NS,0.6086,0.0152,-0.1216,-0.2242,14
2026-05-19 11:45:00+05:30,ASIANPAINT.NS,0.6368,-0.1368,-0.3572,-0.2964,10
2026-05-19 12:00:00+05:30,ASIANPAINT.NS,0.5977,-0.2207,-0.1027,-0.1446,13
2026-05-19 12:15:00+05:30,ASIANPAINT.NS,0.5807,0.1182,0.061,0.0381,18
2026-05-19 12:30:00+05:30,ASIANPAINT.NS,0.7201,-0.0571,-0.0419,-0.2399,11
2026-05-19 12:45:00+05:30,ASIANPAINT.NS,0.467,0.0152,-0.0229,-0.3049,18
2026-05-19 13:00:00+05:30,ASIANPAINT.NS,0.5834,-0.0381,-0.1981,-0.2705,9
2026-05-19 13:15:00+05:30,ASIANPAINT.NS,0.6184,-0.1601,-0.2821,-0.3697,14
2026-05-19 13:30:00+05:30,ASIANPAINT.NS,0.7066,-0.1222,-0.0725,-0.565,8
2026-05-19 13:45:00+05:30,ASIANPAINT.NS,0.6821,0.0497,-0.0879,-0.5007,8
2026-05-19 14:00:00+05:30,ASIANPAINT.NS,0.8495,-0.1375,-0.4929,-0.596,13
2026-05-19 14:15:00+05:30,ASIANPAINT.NS,2.0145,-0.3558,-0.4132,-0.6198,4
2026-05-19 14:30:00+05:30,ASIANPAINT.NS,1.1545,-0.0576,-0.1037,-1.0213,19
2026-05-19 14:45:00+05:30,ASIANPAINT.NS,1.4011,-0.0461,-0.2074,-0.1037,18
2026-05-19 15:00:00+05:30,ASIANPAINT.NS,3.2845,-0.1614,-0.9186,0.1845,12
2026-05-19 15:15:00+05:30,ASIANPAINT.NS,3.3358,-0.7584,0.1039,-0.0693,15
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,1.3306,0.8689,1.1133,0.7526,13
2026-05-20 09:30:00+05:30,ASIANPAINT.NS,1.0129,0.2423,-0.1731,0.0808,16
2026-05-20 09:45:00+05:30,ASIANPAINT.NS,0.8921,-0.4143,-0.3568,-0.1074,16
