Datetime,Symbol,Gap,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,Future_15m,Future_30m,Future_60m,Rank
2026-04-06 09:15:00+05:30,ASIANPAINT.NS,0.6174,1.6755,2183.8999,2150.0,33.8999,1.5523,-0.1205,-0.1344,0.2038,22
2026-04-07 09:15:00+05:30,ASIANPAINT.NS,0.7005,0.3718,2169.0,2146.0,23.0,1.0604,-0.2492,-0.0646,0.66,26
2026-04-08 09:15:00+05:30,ASIANPAINT.NS,6.3215,4.5747,2327.8,2276.7,51.1001,2.1984,0.4814,0.1794,-0.8884,5
2026-04-09 09:15:00+05:30,ASIANPAINT.NS,0.6127,0.334,2286.8999,2252.2,34.7,1.528,-0.0306,-0.512,-0.5689,15
2026-04-10 09:15:00+05:30,ASIANPAINT.NS,0.3705,2.7631,2312.1001,2275.6001,36.5,1.604,1.5065,1.8009,2.5195,8
2026-04-13 09:15:00+05:30,ASIANPAINT.NS,2.9483,1.016,2303.7,2262.7,41.0,1.7895,1.3214,1.417,1.8734,11
2026-04-15 09:15:00+05:30,ASIANPAINT.NS,1.9597,0.4114,2424.8,2381.1001,43.7,1.822,0.9391,1.1612,1.2283,4
2026-04-16 09:15:00+05:30,ASIANPAINT.NS,0.9463,0.7038,2442.8999,2414.1001,28.7998,1.1789,-0.572,-0.1811,0.0041,11
2026-04-17 09:15:00+05:30,ASIANPAINT.NS,0.3893,0.7047,2446.8,2417.8999,28.9001,1.1889,-0.2738,0.5599,0.8991,11
2026-04-20 09:15:00+05:30,ASIANPAINT.NS,0.5017,1.2201,2495.0,2457.7,37.3,1.5168,-0.6769,-0.3626,1.4303,13
2026-04-21 09:15:00+05:30,ASIANPAINT.NS,0.1273,1.3063,2536.2,2513.8,22.3999,0.8898,0.4421,0.9948,1.2751,13
2026-04-22 09:15:00+05:30,ASIANPAINT.NS,0.6133,0.6092,2542.0,2517.8,24.2,0.9573,0.3922,1.0221,1.0221,12
2026-04-23 09:15:00+05:30,ASIANPAINT.NS,1.4357,1.0875,2529.6001,2515.3999,14.2002,0.5621,0.004,0.5122,0.2819,30
2026-04-24 09:15:00+05:30,ASIANPAINT.NS,0.0635,0.538,2535.1001,2516.1001,19.0,0.7531,-0.4886,-0.6475,-0.437,25
2026-04-27 09:15:00+05:30,ASIANPAINT.NS,0.3541,1.0484,2514.0,2491.8,22.2,0.8902,-0.3184,0.2229,-0.2667,23
2026-04-28 09:15:00+05:30,ASIANPAINT.NS,0.3742,0.8582,2492.1001,2458.0,34.1001,1.3773,-0.1769,-0.406,0.2452,5
2026-04-29 09:15:00+05:30,ASIANPAINT.NS,0.5619,1.678,2469.8999,2439.3,30.5999,1.2389,-0.1998,-0.2039,-0.106,11
2026-04-30 09:15:00+05:30,ASIANPAINT.NS,1.1127,0.4704,2423.3999,2409.0,14.3999,0.5957,0.1534,0.2238,0.058,30
2026-05-04 09:15:00+05:30,ASIANPAINT.NS,0.5758,5.48,2506.8999,2462.8999,44.0,1.7865,0.385,0.1083,-0.0642,5
2026-05-05 09:15:00+05:30,ASIANPAINT.NS,1.1437,0.1945,2453.0,2418.2,34.8,1.438,-0.135,-0.2251,-0.5483,6
2026-05-06 09:15:00+05:30,ASIANPAINT.NS,1.037,2.3171,2465.2,2440.8,24.3999,0.9938,-0.2,-0.2204,-0.0367,14
2026-05-07 09:15:00+05:30,ASIANPAINT.NS,0.5836,1.6135,2540.7,2511.6001,29.0999,1.1485,0.2735,0.0159,0.0238,8
2026-05-08 09:15:00+05:30,ASIANPAINT.NS,0.4189,1.3352,2571.0,2520.0,51.0,2.0238,-0.6282,-0.6204,0.3941,3
2026-05-11 09:15:00+05:30,ASIANPAINT.NS,1.1115,1.0605,2598.3,2559.3,39.0,1.5168,0.3648,0.2367,0.2057,8
2026-05-12 09:15:00+05:30,ASIANPAINT.NS,0.8184,0.4146,2555.7,2531.8999,23.8,0.9351,0.1461,-0.0237,-0.2567,20
2026-05-13 09:15:00+05:30,ASIANPAINT.NS,1.8461,4.7209,2612.7,2554.3,58.3999,2.2863,-0.2741,0.5753,1.0541,3
2026-05-14 09:15:00+05:30,ASIANPAINT.NS,0.5354,0.3979,2662.5,2629.0,33.5,1.2742,-0.2295,-0.5155,-0.8579,10
2026-05-15 09:15:00+05:30,ASIANPAINT.NS,0.088,0.3552,2616.3,2600.0,16.3,0.623,0.1915,0.1762,0.5362,27
2026-05-18 09:15:00+05:30,ASIANPAINT.NS,0.7023,1.4598,2590.2,2567.0,23.2,0.8967,-0.0738,-0.2137,-0.4275,23
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,0.1874,1.3913,2645.5,2615.5,30.0,1.1455,-0.2279,-0.5128,-0.0228,12
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,0.9201,0.8402,2587.0,2572.5,14.5,0.5634,0.8689,1.1133,0.7526,30
2026-05-21 09:15:00+05:30,ASIANPAINT.NS,1.0544,1.5962,2648.2,2626.0,22.2,0.8454,-0.0228,-0.0873,-0.6494,15
2026-05-22 09:15:00+05:30,ASIANPAINT.NS,0.1462,0.9183,2628.3999,2600.5,27.8999,1.072,0.7543,1.1619,0.9143,5
2026-05-25 09:15:00+05:30,ASIANPAINT.NS,1.4547,0.8422,2684.0,2666.7,17.3,0.646,-0.0973,-0.0449,0.1123,23
2026-05-26 09:15:00+05:30,ASIANPAINT.NS,0.0301,0.5239,2658.8,2648.3,10.5,0.3949,-0.0792,-0.1357,0.147,30
2026-05-27 09:15:00+05:30,ASIANPAINT.NS,0.3706,1.9248,2676.8999,2651.1001,25.7998,0.9721,-0.1087,0.0712,-0.0749,14
2026-05-29 09:15:00+05:30,ASIANPAINT.NS,0.785,0.6566,2696.0,2655.3999,40.6001,1.5059,0.075,0.5928,0.0976,11
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,8.3529,2778.1001,2737.0,41.1001,1.5016,-1.5472,-1.2154,-1.659,10
2026-06-02 09:15:00+05:30,ASIANPAINT.NS,0.3602,0.2476,2650.6001,2613.3999,37.2002,1.4157,-0.1851,-0.5477,-0.272,8
2026-06-03 09:15:00+05:30,ASIANPAINT.NS,0.5107,0.809,2659.0,2626.6001,32.3999,1.2229,0.4743,0.128,-0.3614,13
2026-06-04 09:15:00+05:30,ASIANPAINT.NS,0.3358,1.2984,2682.0,2650.3,31.7,1.1922,0.7442,0.4749,0.7442,15
2026-06-05 09:15:00+05:30,ASIANPAINT.NS,0.1879,0.6251,2684.2,2665.0,19.2,0.72,0.6375,0.6037,0.7012,16
