Rank,Count,Avg_Return,Median_Return,Win_Rate,Avg_Win,Avg_Loss,Expectancy
1,55,0.02097636363636364,0.0723,52.72727272727272,0.9397275862068968,-1.0037846153846155,0.02097636363636357
2,53,0.04256792452830188,0.0197,50.943396226415096,0.595362962962963,-0.552748,0.032138716981132076
3,51,0.01839411764705882,0.0304,50.98039215686274,0.46003846153846156,-0.4592875,0.00938848039215684
4,49,-0.16433061224489798,-0.1639,40.816326530612244,0.368355,-0.5317,-0.16433061224489792
5,46,-0.019884782608695646,-0.0065,47.82608695652174,0.42519545454545454,-0.44647826086956516,-0.02959083175803398
6,45,-0.02271333333333333,-0.0701,44.44444444444444,0.5042150000000001,-0.444256,-0.022713333333333308
7,45,-0.12480444444444444,-0.151,44.44444444444444,0.47061000000000003,-0.601136,-0.12480444444444444
8,44,0.022538636363636358,-0.0485,43.18181818181818,0.4787473684210526,-0.3241800000000001,0.02253863636363629
9,44,0.040774999999999985,-0.0737,43.18181818181818,0.5215105263157894,-0.324584,0.04077499999999998
10,42,-0.0932214285714286,-0.0039,47.61904761904761,0.33031999999999995,-0.5010333333333333,-0.10515079365079372
11,41,-0.029878048780487807,-0.1357,41.46341463414634,0.39268823529411767,-0.32919583333333335,-0.02987804878048783
12,40,-0.0031749999999999986,-0.09004999999999999,37.5,0.4499866666666666,-0.2989913043478261,-0.018124565217391336
13,39,-0.00026153846153845406,-0.0256,48.717948717948715,0.369178947368421,-0.35123,-0.00026153846153850746
14,38,-0.057968421052631586,-0.047950000000000007,42.10526315789473,0.33441875,-0.3433409090909091,-0.057968421052631586
15,37,-0.06906756756756757,-0.0626,43.24324324324324,0.4996625,-0.527505,-0.08332445945945943
16,37,-0.16252162162162162,-0.0979,32.432432432432435,0.18445833333333336,-0.329072,-0.1625216216216216
17,35,-0.08679714285714286,-0.0076,48.57142857142857,0.3587705882352941,-0.5076111111111111,-0.08679714285714288
18,32,-0.001784375000000006,-0.0643,46.875,0.42078,-0.374635294117647,-0.001784374999999977
19,31,-0.05927741935483871,0.0218,51.61290322580645,0.32746875000000003,-0.5055071428571428,-0.07558410138248847
20,31,-0.03148387096774194,-0.0059,45.16129032258064,0.4934357142857143,-0.49275625,-0.04737923387096782
21,30,-0.030313333333333334,-0.06359999999999999,40.0,0.39368333333333333,-0.31297777777777774,-0.030313333333333276
22,28,-0.10702500000000001,0.0057,50.0,0.43656428571428574,-0.7006615384615386,-0.1320486263736264
23,25,-0.06832400000000001,0.0,44.0,0.37949090909090905,-0.4902083333333333,-0.1075406666666667
24,22,-0.06998636363636361,-0.16785,40.909090909090914,0.6077666666666667,-0.5392,-0.0699863636363636
25,18,-0.07998888888888889,-0.09340000000000001,44.44444444444444,0.2765625,-0.36522999999999994,-0.07998888888888887
26,13,-0.3182692307692308,-0.4513,30.76923076923077,0.41100000000000003,-0.6423888888888889,-0.31826923076923075
27,10,-0.42625,-0.1232,20.0,0.2836,-0.6037125,-0.42625
28,9,-0.1546888888888889,-0.1534,44.44444444444444,0.21969999999999998,-0.4542,-0.15468888888888893
29,7,-0.03861428571428572,0.0618,71.42857142857143,0.13468,-0.47185,-0.0386142857142857
30,3,0.043000000000000003,-0.4721,33.33333333333333,1.589,-0.73,0.042999999999999816
