Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60,Rank
2026-04-08 09:15:00+05:30,ASIANPAINT.NS,6.3215,-0.0686,4.5747,2327.8,2276.7,51.1001,2.1984,1.6994,-0.5037,0.7274,4.3594,0.4814,0.1794,-0.8884,4.5147,4.443,4.5721,5
2026-05-04 09:15:00+05:30,ASIANPAINT.NS,0.5758,0.2087,5.48,2506.8999,2462.8999,44.0,1.7865,1.2343,0.2251,0.5182,2.1706,0.385,0.1083,-0.0642,1.8172,2.0297,1.6802,2
2026-05-13 09:15:00+05:30,ASIANPAINT.NS,1.8461,0.1637,4.7209,2612.7,2554.3,58.3999,2.2863,1.3976,0.1676,0.5962,2.5872,-0.2741,0.5753,1.0541,3.2695,3.4386,3.1831,1
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,0.2326,8.3529,2778.1001,2737.0,41.1001,1.5016,1.3043,0.3656,1.2615,3.1404,-1.5472,-1.2154,-1.659,3.7842,4.0257,3.3433,1
2026-06-15 09:15:00+05:30,ASIANPAINT.NS,2.186,-0.3165,12.0636,2831.3999,2799.0,32.3999,1.1571,0.9786,0.2885,0.5404,3.0721,-1.3935,-1.2591,-1.5774,3.186,2.8594,3.1107,1
2026-05-14 09:15:00+05:30,CIPLA.NS,3.2766,-0.4499,6.5076,1430.6,1371.1,59.5,4.3396,2.1078,-0.0405,1.5673,5.0248,-0.2643,1.1429,1.2143,5.4535,4.979,5.1288,1
2026-04-28 09:15:00+05:30,COALINDIA.NS,0.3847,0.6527,6.7665,470.0,456.7,13.3,2.9122,2.6932,0.8096,0.5323,3.1416,0.8529,0.2878,0.2878,3.0882,3.7611,3.6235,1
2026-05-29 09:15:00+05:30,COALINDIA.NS,-0.8854,-0.0108,1.9312,468.55,457.2,11.35,2.473,1.9065,0.6925,0.9675,2.8673,-0.2993,-0.8873,0.6628,1.0042,0.9933,1.8289,2
2026-04-23 09:15:00+05:30,DRREDDY.NS,1.3401,0.1235,7.1479,1264.0,1232.6,31.4,2.5475,2.515,0.8138,0.5359,3.235,1.8598,2.6274,2.8807,3.8888,4.0171,3.6757,1
2026-04-22 09:15:00+05:30,HINDUNILVR.NS,-0.2883,0.7107,5.2118,2348.3999,2311.7,36.7,1.5837,0.0906,-0.3052,0.5793,2.1018,0.664,1.259,1.578,-0.1979,0.5113,2.1762,1
2026-05-04 09:15:00+05:30,HINDUNILVR.NS,2.3514,0.3115,8.3036,2340.0,2293.3,46.7,2.0243,1.14,0.478,0.6447,2.91,0.2014,0.4414,0.63,3.5182,3.8407,3.2068,1
2026-04-27 09:15:00+05:30,SUNPHARMA.NS,0.2101,-0.0617,2.3675,1707.9,1621.9,86.0,5.3024,3.5021,0.5511,0.7429,2.8051,2.9189,3.3419,5.0992,3.7195,3.6554,3.534,1
2026-04-07 09:15:00+05:30,TATACONSUM.NS,-0.778,-0.2461,2.1373,1060.5,1035.1,25.4,2.4288,1.4056,0.8048,0.7335,1.0366,-1.1787,-1.1127,-0.7732,0.6167,0.3691,0.0283,1
2026-05-04 09:15:00+05:30,TATACONSUM.NS,0.8887,0.3497,1.682,1174.1,1157.9,16.2,1.3991,0.8032,0.0686,0.5104,1.5026,-0.3855,-0.3855,-0.0771,1.6991,2.0547,1.5221,3
2026-05-11 09:15:00+05:30,TATACONSUM.NS,2.8557,-0.0764,8.7034,1235.3,1210.2,25.1001,2.074,1.76,0.4759,0.8074,4.42,0.7795,1.4698,-0.3898,4.666,4.586,4.3998,1
2026-06-16 09:15:00+05:30,DMART.NS,0.2684,0.0757,5.1747,4188.2998,4110.0,78.2998,1.9051,1.1436,0.1261,0.6658,1.9053,-0.4715,-0.4595,0.2189,1.415,1.4917,0.4664,1
2026-04-08 09:15:00+05:30,GAIL.NS,6.764,-0.1856,4.5746,156.38,151.43,4.95,3.1936,2.2194,-1.021,0.8413,4.6794,0.1979,-0.1715,0.6532,4.3945,4.2008,4.9657,3
2026-04-21 09:15:00+05:30,GAIL.NS,0.2474,-0.0697,1.6856,159.9,157.71,2.19,1.3861,1.0316,0.3457,0.5392,1.0442,0.0752,0.3132,1.5285,1.2816,1.211,1.7659,2
2026-04-06 09:15:00+05:30,LODHA.NS,0.5595,-0.336,2.3167,703.8,686.65,17.15,2.4468,0.7704,0.0264,0.9228,2.1058,0.9274,0.5895,0.683,-0.2152,-0.5505,1.3775,1
2026-04-08 09:15:00+05:30,LODHA.NS,5.4344,0.1256,1.5231,771.4,756.05,15.35,2.0287,0.0463,-0.5888,0.954,5.1372,1.8758,2.2061,1.9089,5.4832,5.6156,5.3144,1
2026-04-10 09:15:00+05:30,LODHA.NS,0.684,-0.1202,2.3766,807.55,794.9,12.65,1.5914,1.2706,0.3136,0.5905,2.1316,2.0,1.6708,2.8758,1.9633,1.8407,1.9762,2
2026-04-15 09:15:00+05:30,LODHA.NS,2.5527,-0.4005,1.5311,849.05,839.2,9.85,1.1703,0.0416,-0.168,0.6172,2.0314,0.1841,1.1461,1.0986,2.5953,2.1845,2.1039,2
2026-04-21 09:15:00+05:30,LODHA.NS,0.6374,-0.3497,2.0502,879.0,860.45,18.55,2.1558,1.9002,0.5408,0.9645,1.5044,0.365,0.1198,0.422,2.5497,2.1911,2.8323,1
2026-05-07 09:15:00+05:30,LODHA.NS,0.3111,0.1109,1.859,962.0,940.25,21.75,2.2867,0.6571,-0.4373,0.5722,1.1195,-0.5874,-1.0742,-0.9578,-0.348,-0.2376,0.0212,3
2026-06-12 09:15:00+05:30,LODHA.NS,1.9643,0.1673,1.6595,900.0,883.05,16.95,1.9151,1.1355,0.267,0.6575,2.8976,-1.039,-1.687,-1.6423,3.1221,3.2947,3.0509,1
2026-06-25 09:15:00+05:30,LODHA.NS,1.7692,0.016,5.9664,972.0,951.6,20.4,2.1364,1.3614,0.4219,0.7177,3.9443,-0.4133,-0.6767,-1.6272,3.1546,3.1711,3.7573,1
2026-04-08 09:15:00+05:30,PIDILITIND.NS,7.1269,0.0927,3.6261,1387.4,1350.3,37.1,2.6741,2.5011,-0.7897,0.7467,4.5869,0.5175,0.7319,0.9684,4.4475,4.5444,4.7306,4
2026-05-08 09:15:00+05:30,PIDILITIND.NS,2.8493,0.6897,13.3927,1515.0,1493.2,21.8,1.4518,0.3663,-0.3552,0.5949,3.4265,-1.2365,-1.2499,-1.0761,2.4726,3.1793,3.2363,1
