Datetime,Symbol,Gap,RVOL,Future_15m,Future_30m,Future_60m,Rank
2026-05-19 09:15:00+05:30,ASIANPAINT.NS,0.1874,1.3913,-0.2279,-0.5128,-0.0228,10
2026-05-20 09:15:00+05:30,ASIANPAINT.NS,0.9201,0.8402,0.8689,1.1133,0.7526,22
2026-05-21 09:15:00+05:30,ASIANPAINT.NS,1.0544,1.5962,-0.0228,-0.0873,-0.6494,9
2026-05-22 09:15:00+05:30,ASIANPAINT.NS,0.1462,0.9183,0.7543,1.1619,0.9143,10
2026-05-25 09:15:00+05:30,ASIANPAINT.NS,1.4547,0.8422,-0.0973,-0.0449,0.1123,23
2026-05-26 09:15:00+05:30,ASIANPAINT.NS,0.0301,0.5239,-0.0792,-0.1357,0.147,17
2026-05-27 09:15:00+05:30,ASIANPAINT.NS,0.3706,1.9248,-0.1087,0.0712,-0.0749,9
2026-05-29 09:15:00+05:30,ASIANPAINT.NS,0.785,0.6566,0.075,0.5928,0.0976,28
2026-06-01 09:15:00+05:30,ASIANPAINT.NS,2.448,8.3529,-1.5472,-1.2154,-1.659,1
2026-06-02 09:15:00+05:30,ASIANPAINT.NS,0.3602,0.2476,-0.1851,-0.5477,-0.272,30
2026-06-03 09:15:00+05:30,ASIANPAINT.NS,0.5107,0.809,0.4743,0.128,-0.3614,13
2026-06-04 09:15:00+05:30,ASIANPAINT.NS,0.3358,1.2984,0.7442,0.4749,0.7442,13
2026-06-05 09:15:00+05:30,ASIANPAINT.NS,0.1879,0.6251,0.6375,0.6037,0.7012,22
2026-06-08 09:15:00+05:30,ASIANPAINT.NS,1.2702,0.3775,0.2341,0.4909,0.3701,29
2026-06-09 09:15:00+05:30,ASIANPAINT.NS,0.4821,3.0957,0.1007,0.0597,-0.1454,2
2026-06-10 09:15:00+05:30,ASIANPAINT.NS,0.1292,2.3627,-0.1387,0.0,-0.2884,7
2026-06-11 09:15:00+05:30,ASIANPAINT.NS,1.3075,0.2017,0.1333,-0.1518,-0.2296,28
2026-06-12 09:15:00+05:30,ASIANPAINT.NS,1.0963,1.2406,-0.3047,-0.4515,-0.0881,16
2026-06-15 09:15:00+05:30,ASIANPAINT.NS,2.186,12.0636,-1.3935,-1.2591,-1.5774,1
2026-06-16 09:15:00+05:30,ASIANPAINT.NS,0.2667,0.0987,-0.1128,0.0982,0.524,30
2026-06-17 09:15:00+05:30,ASIANPAINT.NS,0.3202,0.4181,-0.0073,0.0,-0.2103,26
2026-06-18 09:15:00+05:30,ASIANPAINT.NS,0.3728,1.9979,0.5532,0.6704,0.6118,3
2026-06-19 09:15:00+05:30,ASIANPAINT.NS,0.4029,0.7806,-0.0877,0.011,-0.0439,23
2026-06-22 09:15:00+05:30,ASIANPAINT.NS,0.3586,1.6743,-0.1574,-0.2306,-0.3917,14
2026-06-23 09:15:00+05:30,ASIANPAINT.NS,0.4003,1.44,0.1954,0.6988,0.7777,9
2026-06-24 09:15:00+05:30,ASIANPAINT.NS,0.0451,0.7699,-0.015,-0.643,-0.1495,16
2026-06-25 09:15:00+05:30,ASIANPAINT.NS,0.4761,1.2935,0.0603,1.0356,0.7343,12
2026-05-19 09:15:00+05:30,BRITANNIA.NS,0.0093,0.9023,-0.1013,0.2763,0.3961,13
2026-05-20 09:15:00+05:30,BRITANNIA.NS,0.48,2.7338,-0.0374,-0.0561,-0.0187,6
2026-05-21 09:15:00+05:30,BRITANNIA.NS,0.3836,0.93,-0.5411,-0.6718,-0.5785,13
2026-05-22 09:15:00+05:30,BRITANNIA.NS,0.1217,0.6228,-0.1318,-0.1318,0.1789,13
2026-05-25 09:15:00+05:30,BRITANNIA.NS,0.7127,0.7401,-0.1965,-0.234,-0.0842,25
2026-05-26 09:15:00+05:30,BRITANNIA.NS,0.1686,0.5582,-0.047,-0.0846,0.047,16
2026-05-27 09:15:00+05:30,BRITANNIA.NS,0.0467,1.2229,0.1221,0.0094,0.1127,15
2026-05-29 09:15:00+05:30,BRITANNIA.NS,0.1592,6.0505,-0.5085,-0.3955,-0.5085,2
2026-06-01 09:15:00+05:30,BRITANNIA.NS,0.4207,0.3917,-0.0579,0.2218,0.5112,23
2026-06-02 09:15:00+05:30,BRITANNIA.NS,0.7271,1.391,-0.1662,-0.1564,-0.2249,14
2026-06-03 09:15:00+05:30,BRITANNIA.NS,0.4008,0.181,-0.0491,-0.3434,-0.1276,30
2026-06-04 09:15:00+05:30,BRITANNIA.NS,0.237,2.8607,0.3765,1.0008,1.09,3
2026-06-05 09:15:00+05:30,BRITANNIA.NS,0.1765,0.5418,0.0295,0.0492,0.2753,23
2026-06-08 09:15:00+05:30,BRITANNIA.NS,0.9862,2.3396,-0.0492,0.0197,-0.4825,6
2026-06-09 09:15:00+05:30,BRITANNIA.NS,0.5732,0.6832,-0.1182,0.1182,-0.1379,20
2026-06-10 09:15:00+05:30,BRITANNIA.NS,0.0783,1.8296,0.6078,0.6657,0.2315,10
2026-06-11 09:15:00+05:30,BRITANNIA.NS,0.2323,1.3947,-0.0579,-0.357,-0.3184,9
2026-06-12 09:15:00+05:30,BRITANNIA.NS,0.5281,0.5133,0.4189,0.263,0.1851,27
2026-06-15 09:15:00+05:30,BRITANNIA.NS,1.6165,1.5915,-0.0673,-0.0673,0.2307,16
2026-06-16 09:15:00+05:30,BRITANNIA.NS,0.0096,0.5532,-0.1249,-0.1921,-0.2113,15
2026-06-17 09:15:00+05:30,BRITANNIA.NS,0.0479,0.8351,-0.0863,-0.0192,0.0671,19
2026-06-18 09:15:00+05:30,BRITANNIA.NS,0.153,1.6876,0.0672,0.1344,0.2111,6
2026-06-19 09:15:00+05:30,BRITANNIA.NS,0.4099,0.3615,-0.1819,-0.1628,-0.2298,28
2026-06-22 09:15:00+05:30,BRITANNIA.NS,0.3463,1.3781,-0.2115,-0.0288,0.1826,16
2026-06-23 09:15:00+05:30,BRITANNIA.NS,0.0,0.7431,0.2389,0.4205,0.3823,20
2026-06-24 09:15:00+05:30,BRITANNIA.NS,0.2103,2.1454,-0.6438,-0.9752,-0.0852,4
2026-06-25 09:15:00+05:30,BRITANNIA.NS,0.1328,0.6158,0.1329,0.4936,0.0,23
2026-05-19 09:15:00+05:30,CIPLA.NS,0.5254,0.1806,-0.4356,-0.0843,-0.2951,30
2026-05-20 09:15:00+05:30,CIPLA.NS,0.3405,4.1159,0.1199,0.0212,-0.268,3
2026-05-21 09:15:00+05:30,CIPLA.NS,0.5359,0.356,0.5763,0.249,0.249,25
2026-05-22 09:15:00+05:30,CIPLA.NS,0.321,0.5561,-0.1285,-0.0571,-0.0999,15
2026-05-25 09:15:00+05:30,CIPLA.NS,0.8901,0.9069,-0.1641,0.1854,-0.0856,21
2026-05-26 09:15:00+05:30,CIPLA.NS,0.1131,4.5144,0.0211,-0.3313,-0.3524,2
2026-05-27 09:15:00+05:30,CIPLA.NS,0.2749,0.6839,-0.0351,-0.0772,0.2527,22
2026-05-29 09:15:00+05:30,CIPLA.NS,0.4372,1.5931,-0.8206,-0.6663,-1.1292,16
2026-06-01 09:15:00+05:30,CIPLA.NS,0.3569,0.3038,0.043,0.2078,0.8382,26
2026-06-02 09:15:00+05:30,CIPLA.NS,0.7604,4.8112,0.029,-0.2467,-0.4571,1
2026-06-03 09:15:00+05:30,CIPLA.NS,0.0943,0.5278,0.2922,0.7378,0.4237,23
2026-06-04 09:15:00+05:30,CIPLA.NS,0.3063,1.0498,0.5284,0.8294,1.3358,14
2026-06-05 09:15:00+05:30,CIPLA.NS,0.5577,1.0448,0.2875,-0.0719,0.0216,9
2026-06-08 09:15:00+05:30,CIPLA.NS,0.7279,0.4395,-0.3206,-0.3491,-0.8406,26
2026-06-09 09:15:00+05:30,CIPLA.NS,0.0937,1.197,-0.1295,-0.302,-0.036,10
2026-06-10 09:15:00+05:30,CIPLA.NS,0.2111,1.191,0.625,0.5523,0.6977,15
2026-06-11 09:15:00+05:30,CIPLA.NS,0.2913,0.553,0.1232,-0.0072,0.6304,19
2026-06-12 09:15:00+05:30,CIPLA.NS,0.7881,1.8494,-0.23,-0.5534,-0.1869,7
2026-06-15 09:15:00+05:30,CIPLA.NS,0.2519,1.3925,-0.0943,0.087,-0.0943,18
2026-06-16 09:15:00+05:30,CIPLA.NS,0.3039,0.345,0.0361,0.3534,0.0577,22
2026-06-17 09:15:00+05:30,CIPLA.NS,0.0145,1.5993,-0.0146,-0.38,-0.4312,10
2026-06-18 09:15:00+05:30,CIPLA.NS,0.2814,1.3923,-0.0807,-0.0954,-0.2495,9
2026-06-19 09:15:00+05:30,CIPLA.NS,0.1251,0.3813,-0.0295,-0.0589,-0.0736,26
2026-06-22 09:15:00+05:30,CIPLA.NS,1.8642,11.8603,0.0144,0.5414,1.1189,2
2026-06-23 09:15:00+05:30,CIPLA.NS,0.3103,0.722,0.532,0.938,1.498,21
2026-06-24 09:15:00+05:30,CIPLA.NS,0.7035,0.6842,0.7779,0.6727,0.6447,20
2026-06-25 09:15:00+05:30,CIPLA.NS,0.7302,0.2393,-0.0486,0.0486,0.0764,27
2026-05-19 09:15:00+05:30,COALINDIA.NS,0.2491,0.7375,-0.1199,-0.1199,-0.1526,18
2026-05-20 09:15:00+05:30,COALINDIA.NS,0.5033,0.6535,0.0769,0.1099,0.0989,24
2026-05-21 09:15:00+05:30,COALINDIA.NS,0.1962,2.0943,0.2488,0.2921,0.119,5
2026-05-22 09:15:00+05:30,COALINDIA.NS,0.0543,0.4365,-0.0763,0.0218,0.109,22
2026-05-25 09:15:00+05:30,COALINDIA.NS,0.3943,1.1869,0.2398,0.6212,0.5776,17
2026-05-26 09:15:00+05:30,COALINDIA.NS,0.4039,3.5157,0.108,0.5507,1.069,3
2026-05-27 09:15:00+05:30,COALINDIA.NS,5.9688,11.2479,0.4217,0.8207,1.801,1
2026-05-29 09:15:00+05:30,COALINDIA.NS,0.8854,1.9312,-0.2993,-0.8873,0.6628,15
2026-06-01 09:15:00+05:30,COALINDIA.NS,0.3164,0.2513,1.9067,1.5472,2.3861,28
2026-06-02 09:15:00+05:30,COALINDIA.NS,0.697,0.3735,-0.3436,0.1933,1.5679,27
2026-06-03 09:15:00+05:30,COALINDIA.NS,0.0318,1.5381,-0.6908,-1.3293,-1.7061,5
2026-06-04 09:15:00+05:30,COALINDIA.NS,0.3705,0.2193,-0.1581,0.0948,-0.2529,30
2026-06-05 09:15:00+05:30,COALINDIA.NS,0.3428,0.7468,-0.0627,-0.2928,-1.0665,18
2026-06-08 09:15:00+05:30,COALINDIA.NS,0.8054,3.1587,0.203,-0.2671,0.0,4
2026-06-09 09:15:00+05:30,COALINDIA.NS,0.0861,0.5272,0.1304,-0.2608,0.3912,24
2026-06-10 09:15:00+05:30,COALINDIA.NS,0.075,0.4155,0.27,0.0648,0.324,27
2026-06-11 09:15:00+05:30,COALINDIA.NS,0.0665,1.4602,-0.2332,-0.3221,-0.1666,7
2026-06-12 09:15:00+05:30,COALINDIA.NS,0.8977,1.0395,-0.0562,-0.4721,-0.3709,18
2026-06-15 09:15:00+05:30,COALINDIA.NS,1.0228,0.883,-0.0562,-0.3035,-0.6295,23
2026-06-16 09:15:00+05:30,COALINDIA.NS,0.5855,0.5737,0.1125,0.7876,0.4275,14
2026-06-17 09:15:00+05:30,COALINDIA.NS,0.0111,0.7751,0.1334,-0.0778,-0.1001,20
2026-06-18 09:15:00+05:30,COALINDIA.NS,0.3185,1.0019,0.2635,0.0768,-0.1866,16
