Combination,Timeframe,Rank,60,120,180,365,730,Score,Trades,Coverage,Win Rate,Avg Return,Median Return,Overall Rank
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,19,0.35,0.208,0.152,0.052,0.032,0.223,38,3.33,63.16,0.35,0.277,1
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,24,0.189,0.133,0.126,0.06,0.0,0.14,38,3.33,55.26,0.189,0.056,2
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,24,0.144,0.168,0.092,0.034,0.014,0.124,38,3.33,55.26,0.144,0.101,3
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,24,0.162,0.145,0.083,0.038,-0.007,0.122,38,3.33,60.53,0.162,0.159,4
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,19,0.216,0.04,0.066,0.027,0.036,0.105,38,3.33,57.89,0.216,0.1,5
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,3,0.179,0.099,0.04,-0.004,-0.026,0.1,38,3.33,47.37,0.179,-0.051,6
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,11,0.15,0.096,0.044,0.011,-0.031,0.092,38,3.33,47.37,0.15,-0.068,7
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,2,0.124,0.096,0.068,-0.011,-0.071,0.084,38,3.33,57.89,0.124,0.113,8
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,14,0.116,0.041,0.034,0.013,-0.039,0.062,38,3.33,50.0,0.126,0.035,9
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,13,0.095,0.057,0.023,0.02,-0.008,0.058,38,3.33,52.63,0.095,0.052,10
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,3,0.101,0.043,0.029,-0.0,-0.026,0.054,38,3.33,52.63,0.101,0.029,11
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,16,0.176,0.013,-0.05,-0.059,-0.067,0.046,38,3.33,57.89,0.176,0.259,12
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,14,0.049,0.066,0.023,0.003,-0.025,0.042,38,3.33,52.63,0.049,0.063,13
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,14,0.041,0.037,0.038,0.018,-0.033,0.036,38,3.33,47.37,0.052,-0.03,14
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,19,0.078,0.013,0.022,-0.002,0.009,0.035,38,3.33,60.53,0.078,0.079,15
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,12,0.113,0.009,-0.037,-0.049,0.001,0.028,38,3.33,47.37,0.113,-0.027,16
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,21,0.034,0.026,0.02,0.018,0.012,0.027,38,3.33,44.74,0.034,-0.04,17
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,15,0.132,-0.069,-0.014,-0.024,-0.023,0.019,38,3.33,55.26,0.132,0.043,18
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,7,0.083,-0.042,0.033,-0.033,-0.003,0.018,38,3.33,42.11,0.083,-0.045,19
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,15,0.059,0.007,-0.015,-0.031,-0.0,0.015,38,3.33,47.37,0.059,-0.015,20
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,2,-0.012,0.031,0.036,-0.016,-0.053,0.01,38,3.33,52.63,-0.012,0.049,21
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,10,0.087,0.006,-0.073,-0.076,-0.024,0.006,38,3.33,50.0,0.098,0.045,22
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,2,-0.016,0.032,0.026,-0.025,-0.02,0.005,38,3.33,47.37,-0.016,-0.042,23
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,30,0.014,0.028,-0.031,-0.019,0.0,0.004,38,3.33,44.74,0.014,-0.066,24
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,6,0.066,-0.048,-0.006,-0.03,-0.066,0.003,38,3.33,60.53,0.066,0.107,25
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,1,-0.094,0.084,0.041,0.001,-0.014,0.001,38,3.33,39.47,-0.094,-0.209,26
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,3,-0.019,0.013,0.018,-0.013,-0.02,-0.001,38,3.33,50.0,-0.019,-0.039,27
