Combination,Factor,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return,Timeframe,Best Rank,Rank,Locked Filters
ORB_Range + RS_15 + ORB_Low + ATR_Percent,RS_15,RS_15>-1.0627,0.708,0.532,0.288,0.186,0.118,0.441,0.493,11.74,20,5.65,85.0,0.708,60 Min,15,1,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,RS_15,RS_15>-1.5985,0.708,0.496,0.253,0.167,0.127,0.441,0.472,7.03,20,5.14,85.0,0.708,60 Min,15,2,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<1856.56,0.649,0.504,0.253,0.177,0.148,0.441,0.456,3.32,21,5.3,80.95,0.649,60 Min,15,3,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<2330.165,0.649,0.468,0.239,0.169,0.14,0.441,0.441,-0.07,21,5.2,80.95,0.649,60 Min,15,4,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<2894.19,0.649,0.468,0.239,0.169,0.133,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,5,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<3683.975,0.649,0.468,0.239,0.169,0.129,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,6,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<4335.04,0.649,0.468,0.239,0.169,0.129,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,7,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<5214.475,0.649,0.468,0.239,0.169,0.129,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,8,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<5830.0,0.649,0.468,0.239,0.169,0.129,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,9,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
ORB_Range + RS_15 + ORB_Low + ATR_Percent,ORB_Low,ORB_Low<6943.475,0.649,0.468,0.239,0.169,0.129,0.441,0.441,-0.07,21,5.15,80.95,0.649,60 Min,15,10,ORB_Range<21.4 AND ATR_Percent>0.3633 AND RS_15>-1.0627
