Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.5258,VWAP_Distance>-0.5258,0.223,0.161,0.086,0.007,-0.084,0.123,0.145,17.55,36,3.28,63.89,0.223
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.386,VWAP_Distance>-0.386,0.218,0.157,0.082,0.005,-0.071,0.123,0.141,14.37,34,3.28,61.76,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.3068,VWAP_Distance>-0.3068,0.218,0.162,0.094,0.013,-0.067,0.123,0.146,18.32,34,3.49,61.76,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.2523,VWAP_Distance>-0.2523,0.175,0.148,0.084,0.004,-0.077,0.123,0.123,0.03,33,3.6,60.61,0.175
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.2064,VWAP_Distance>-0.2064,0.177,0.149,0.083,-0.002,-0.084,0.123,0.123,-0.02,31,3.61,61.29,0.177
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.1678,VWAP_Distance>-0.1678,0.177,0.157,0.097,0.007,-0.084,0.123,0.13,5.51,31,3.84,61.29,0.177
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.13,VWAP_Distance>-0.13,0.198,0.179,0.108,0.02,-0.08,0.123,0.147,19.88,29,3.85,65.52,0.198
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.0972,VWAP_Distance>-0.0972,0.179,0.155,0.093,0.014,-0.087,0.123,0.13,5.54,28,4.01,64.29,0.179
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.0635,VWAP_Distance>-0.0635,0.102,0.135,0.087,0.017,-0.085,0.123,0.096,-21.8,26,4.01,61.54,0.102
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,>,-0.0274,VWAP_Distance>-0.0274,0.101,0.136,0.082,0.011,-0.088,0.123,0.094,-23.26,24,4.2,62.5,0.101
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.0074,VWAP_Distance<0.0074,0.218,0.16,0.111,0.028,-0.039,0.123,0.151,22.59,21,3.31,61.9,0.218
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.0454,VWAP_Distance<0.0454,0.2,0.124,0.075,-0.009,-0.065,0.123,0.121,-1.95,24,3.48,62.5,0.2
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.0835,VWAP_Distance<0.0835,0.177,0.162,0.103,0.016,-0.051,0.123,0.134,8.57,27,3.6,59.26,0.177
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.1241,VWAP_Distance<0.1241,0.151,0.125,0.065,-0.003,-0.064,0.123,0.103,-16.35,28,3.48,57.14,0.151
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.1664,VWAP_Distance<0.1664,0.146,0.112,0.054,-0.014,-0.08,0.123,0.094,-23.87,29,3.39,58.62,0.146
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.216,VWAP_Distance<0.216,0.134,0.104,0.05,-0.017,-0.072,0.123,0.086,-30.24,32,3.47,56.25,0.134
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.2731,VWAP_Distance<0.2731,0.11,0.07,0.024,-0.025,-0.07,0.123,0.061,-50.49,33,3.36,54.55,0.11
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.3524,VWAP_Distance<0.3524,0.146,0.081,0.022,-0.028,-0.073,0.123,0.075,-38.63,35,3.39,57.14,0.146
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,VWAP_Distance,<,0.4995,VWAP_Distance<0.4995,0.154,0.081,0.029,-0.024,-0.069,0.123,0.08,-34.67,37,3.39,59.46,0.154
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.4617,Previous_Day_Return>-0.4617,0.165,0.152,0.1,0.004,-0.071,0.123,0.124,0.83,38,3.46,60.53,0.165
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.3387,Previous_Day_Return>-0.3387,0.165,0.152,0.1,0.004,-0.071,0.123,0.124,0.98,38,3.62,60.53,0.165
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.2697,Previous_Day_Return>-0.2697,0.154,0.168,0.112,0.018,-0.067,0.123,0.129,5.19,37,3.7,59.46,0.154
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.2118,Previous_Day_Return>-0.2118,0.168,0.145,0.083,0.005,-0.063,0.123,0.12,-2.72,36,3.77,61.11,0.168
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.1657,Previous_Day_Return>-0.1657,0.162,0.153,0.101,0.006,-0.072,0.123,0.123,0.37,34,3.78,58.82,0.162
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.1279,Previous_Day_Return>-0.1279,0.162,0.15,0.109,0.01,-0.065,0.123,0.125,1.6,34,3.94,58.82,0.162
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.0941,Previous_Day_Return>-0.0941,0.174,0.156,0.114,0.022,-0.06,0.123,0.134,8.93,31,3.85,61.29,0.174
1,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,,Previous_Day_Return,>,-0.0636,Previous_Day_Return>-0.0636,0.208,0.179,0.122,0.019,-0.068,0.123,0.154,24.88,29,3.82,62.07,0.208
