Combination,60,120,180,365,730,Score,Winner TF,Best Rank,Trades,Coverage,Win Rate,Avg Return,Rank
VWAP_Distance + ORB_Range + RS_15,0.352,0.236,0.166,0.075,0.038,0.239,60 Min,10,38,3.33,60.53,0.352,1
VWAP_Distance + Previous_Day_Return + RS_60,0.35,0.208,0.152,0.06,0.036,0.224,60 Min,19,38,3.33,63.16,0.35,2
VWAP_Distance + Previous_Day_Return + Gap,0.334,0.212,0.134,0.089,0.039,0.221,60 Min,24,38,3.33,60.53,0.334,3
Previous_Day_Return + RS_60 + ORB_Low,0.309,0.211,0.144,0.099,0.031,0.215,60 Min,9,38,3.33,68.42,0.309,4
ORB_Range + Previous_Day_Return + RS_60,0.336,0.178,0.155,0.067,0.026,0.212,60 Min,7,38,3.33,71.05,0.336,5
VWAP_Distance + RS_15 + Previous_Day_Return,0.336,0.208,0.102,0.052,0.045,0.208,60 Min,10,38,3.33,60.53,0.336,6
VWAP_Distance + ORB_Range + Gap,0.324,0.167,0.159,0.083,0.056,0.208,60 Min,23,38,3.33,63.16,0.324,7
RS_15 + RS_60 + Gap,0.245,0.24,0.18,0.086,0.092,0.207,60 Min,10,38,3.33,55.26,0.245,8
ORB_Range + RS_15 + RVOL,0.324,0.182,0.141,0.051,0.03,0.204,60 Min,9,38,3.33,65.79,0.324,9
RS_15 + ORB_Low + ATR_Percent,0.275,0.217,0.146,0.079,0.042,0.203,60 Min,24,38,3.33,63.16,0.275,10
RS_60 + ATR_Percent + Gap,0.37,0.146,0.11,0.054,0.042,0.203,60 Min,8,38,3.33,71.05,0.37,11
RS_15 + Previous_Day_Return + ORB_Low,0.289,0.189,0.179,0.055,0.024,0.202,60 Min,7,38,3.33,68.42,0.289,12
VWAP_Distance + ORB_Range + Previous_Day_Return,0.342,0.161,0.116,0.069,0.031,0.202,60 Min,4,38,3.33,55.26,0.342,13
VWAP_Distance + ORB_Low + Gap,0.288,0.191,0.158,0.073,0.034,0.201,60 Min,23,38,3.33,63.16,0.288,14
RS_60 + RVOL + Gap,0.3,0.151,0.141,0.136,0.062,0.199,60 Min,30,38,3.33,65.79,0.3,15
VWAP_Distance + ATR_Percent + RVOL,0.297,0.189,0.141,0.071,0.056,0.199,60 Min,8,38,3.33,65.79,0.297,16
ORB_Range + RS_60 + ORB_Low,0.306,0.182,0.135,0.063,0.053,0.198,60 Min,22,38,3.33,57.89,0.306,17
ATR_Percent + RVOL + Gap,0.309,0.176,0.123,0.07,0.039,0.196,60 Min,29,38,3.33,60.53,0.315,18
ORB_Low + ATR_Percent + Gap,0.327,0.155,0.118,0.071,0.038,0.195,60 Min,22,38,3.33,57.89,0.327,19
Previous_Day_Return + ATR_Percent + RVOL,0.282,0.201,0.136,0.054,0.027,0.194,60 Min,7,38,3.33,65.79,0.282,20
