Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60
2026-05-05 09:15:00+05:30,ASIANPAINT,-0.7353,-0.0816,0.4461,2454.9,2415.0,39.9,1.642,0.5638,0.2393,0.4259,-0.5526,-0.1146,-0.2251,-0.5483,-0.1757,-0.2571,-0.3344
2026-05-06 09:15:00+05:30,ASIANPAINT,1.1305,0.0988,1.5188,2469.8,2440.4,29.4,1.1951,0.4106,-0.1413,0.379,0.7078,-0.2,-0.2204,-0.0367,0.7153,0.8148,0.9352
2026-05-07 09:15:00+05:30,ASIANPAINT,0.3762,0.1825,1.6588,2546.4,2511.3,35.1,1.3848,0.4498,-0.1491,0.4985,1.2764,0.2774,0.0159,0.0555,-0.0752,0.1071,0.4819
2026-05-08 09:15:00+05:30,ASIANPAINT,0.1577,0.2372,1.7968,2572.5,2515.4,57.1,2.248,0.9016,0.4954,0.5736,1.2347,-0.6204,-0.6204,0.3863,1.0607,1.3004,1.3805
2026-05-11 09:15:00+05:30,ASIANPAINT,-0.8154,0.0038,0.7055,2598.4,2557.0,41.4,1.6053,0.0814,-0.0233,0.4604,-0.4724,0.3648,0.229,0.2057,-0.8961,-0.8923,-1.0065
2026-05-12 09:15:00+05:30,ASIANPAINT,-0.8489,0.0545,0.3559,2555.7,2530.1,25.6,1.0054,0.5538,-0.2835,0.5334,-1.6819,0.1461,-0.0237,-0.2567,-1.398,-1.3442,-1.8414
2026-05-13 09:15:00+05:30,ASIANPAINT,1.8341,0.1637,6.4842,2613.7,2554.0,59.7,2.3375,1.3743,0.1354,0.6045,2.5547,-0.2395,0.6103,1.0892,3.2337,3.4027,3.1473
2026-05-14 09:15:00+05:30,ASIANPAINT,0.1912,-0.0344,0.2971,2663.8,2620.0,43.8,1.6718,1.4237,0.3879,0.4803,1.5623,-0.2145,-0.508,-0.843,1.6176,1.5826,1.4546
2026-05-15 09:15:00+05:30,ASIANPAINT,0.3137,-0.3697,0.4014,2623.0,2597.0,26.0,0.9915,0.4271,0.0255,0.4052,-0.4722,0.1915,0.1762,0.5362,-0.1148,-0.484,-0.3853
2026-05-18 09:15:00+05:30,ASIANPAINT,-1.1077,0.1036,1.6737,2596.2,2567.0,29.2,1.1317,0.2597,-0.212,0.4982,-1.4291,-0.0777,-0.2176,-0.4313,-1.3645,-1.2623,-0.9202
2026-05-19 09:15:00+05:30,ASIANPAINT,0.8981,-0.3137,0.8947,2646.0,2614.2,31.8,1.2096,0.0913,0.0329,0.3719,0.9214,-0.1824,-0.4674,0.0494,0.9902,0.6733,0.8431
