Datetime,Open,High,Low,Close,Volume
2024-07-01 09:15:00+05:30,708.0,708.0,696.3,704.4,172148
2024-07-01 09:30:00+05:30,703.65,706.35,701.0,703.95,75199
2024-07-01 09:45:00+05:30,703.95,705.95,703.5,705.55,27238
2024-07-01 10:00:00+05:30,705.15,708.4,703.4,704.55,98325
2024-07-01 10:15:00+05:30,704.55,709.4,704.2,709.4,58107
2024-07-01 10:30:00+05:30,709.05,714.0,708.85,712.25,131285
2024-07-01 10:45:00+05:30,711.95,713.5,710.6,712.35,81227
2024-07-01 11:00:00+05:30,712.35,714.0,711.0,713.0,66065
2024-07-01 11:15:00+05:30,712.95,713.0,712.05,712.95,34772
2024-07-01 11:30:00+05:30,712.55,714.75,712.05,714.5,44531
2024-07-01 11:45:00+05:30,714.45,715.85,713.85,715.0,74185
2024-07-01 12:00:00+05:30,714.85,717.0,714.55,715.95,96626
2024-07-01 12:15:00+05:30,716.0,717.0,715.35,717.0,74392
2024-07-01 12:30:00+05:30,716.55,717.0,713.65,715.25,93978
2024-07-01 12:45:00+05:30,715.6,718.0,715.0,717.9,67158
2024-07-01 13:00:00+05:30,717.75,718.5,717.5,718.0,57944
2024-07-01 13:15:00+05:30,718.1,719.9,715.5,719.0,100385
2024-07-01 13:30:00+05:30,719.0,719.4,718.1,718.9,21865
2024-07-01 13:45:00+05:30,718.65,719.6,718.1,718.1,35054
2024-07-01 14:00:00+05:30,718.6,720.8,718.15,719.0,68548
2024-07-01 14:15:00+05:30,719.0,720.0,719.0,719.95,51310
2024-07-01 14:30:00+05:30,719.7,720.0,719.0,719.7,42355
2024-07-01 14:45:00+05:30,719.7,722.0,719.5,721.6,84411
2024-07-01 15:00:00+05:30,721.6,723.8,720.85,723.4,101097
2024-07-01 15:15:00+05:30,723.7,723.85,719.0,720.25,150759
2024-07-02 09:15:00+05:30,725.0,728.0,722.0,723.7,202814
2024-07-02 09:30:00+05:30,723.7,725.3,719.0,719.65,118822
2024-07-02 09:45:00+05:30,719.8,720.55,716.2,718.0,91070
2024-07-02 10:00:00+05:30,717.9,720.5,715.4,716.1,79126
2024-07-02 10:15:00+05:30,716.1,716.8,712.3,714.15,85081
2024-07-02 10:30:00+05:30,714.15,714.85,712.1,713.75,61245
2024-07-02 10:45:00+05:30,713.45,715.0,712.5,714.05,44358
2024-07-02 11:00:00+05:30,714.05,714.8,713.1,713.65,36712
2024-07-02 11:15:00+05:30,713.5,718.0,712.9,717.75,55329
2024-07-02 11:30:00+05:30,717.7,719.4,717.0,718.8,41411
2024-07-02 11:45:00+05:30,718.8,719.15,718.0,718.1,31821
2024-07-02 12:00:00+05:30,718.0,719.65,718.0,719.15,22448
2024-07-02 12:15:00+05:30,719.1,720.6,719.0,719.7,34381
2024-07-02 12:30:00+05:30,719.7,720.0,719.0,719.25,93453
2024-07-02 12:45:00+05:30,719.0,719.25,719.0,719.05,24895
2024-07-02 13:00:00+05:30,719.05,722.3,719.0,722.3,84238
2024-07-02 13:15:00+05:30,722.3,724.0,721.5,723.9,49207
